Intensity	Wavelength (Å)	Spectrum	Reference	Nominal Q	Volume (Log_1000(Q))
30	172	Li II	 R37	30	0.49
  300 P	178	Li II	 R37	300	0.83
 1000 P	199	Li II	 R37	1000	1.00
   15 c	231	He II	 GM65	15	0.39
   20 c	233	He II	 GM65	20	0.43
   30 c	234	He II	 GM65	30	0.49
   50 c	237	He II	 GM65	50	0.57
  100 c	243	He II	 GM65	100	0.67
  300 P	256	He II	 MK00b	300	0.83
  150 P	256	He II	 MK00b	150	0.73
   90 P	300	Na II	 W71	90	0.65
90	300	Na II	 W71	90	0.65
50	301	Na II	 W71	50	0.57
60	301	Na II	 W71	60	0.59
30	302	Na II	 W71	30	0.49
 1000 P	304	He II	 MK00b	1000	1.00
  500 P	304	He II	 MK00b	500	0.90
10	320	He I	 TW71	10	0.33
   90 P	353	Ne II	 P71	90	0.65
   60 P	355	Ne II	 P71	60	0.59
90	361	Ne II	 P71	90	0.65
60	362	Ne II	 P71	60	0.59
  150 P	372	Na II	 W71	150	0.73
200	376	Na II	 W71	200	0.77
150	406	Ne II	 P71	150	0.73
120	407	Ne II	 P71	120	0.69
  400 P	430	O  II	 MKM93	400	0.87
  700 P	430	O  II	 MKM93	700	0.95
 1000 P	430	O  II	 MKM93	1000	1.00
800	442	K  II	 E31	800	0.97
  200 P	445	Ne II	 P71	200	0.77
  300 P	446	Ne II	 P71	300	0.83
  250 P	447	Ne II	 P71	250	0.80
200	448	Ne II	 P71	200	0.77
150	455	Ne II	 P71	150	0.73
200	455	Ne II	 P71	200	0.77
10	456	Ne II	 P71	10	0.33
120	456	Ne II	 P71	120	0.69
90	457	Ne II	 P71	90	0.65
 1000 P	461	Ne II	 P71	1000	1.00
  500 P	462	Ne II	 P71	500	0.90
150	465	K  II	 E31	150	0.73
200 x	470	K  II	 E31	200	0.77
300	476	K  II	 E31	300	0.83
  900 P	485	F  II	 P69	900	0.98
10	487	Ar II	 M71	10	0.33
15	491	Ar II	 M71	15	0.39
10	491	Ar II	 M71	10	0.33
1000	495	K  II	 E31	1000	1.00
2	506	He I	 M02	2	0.10
3	506	He I	 M02	3	0.16
4	506	He I	 M02	4	0.20
5	506	He I	 M02	5	0.23
7	507	He I	 M02	7	0.28
10	507	He I	 M02	10	0.33
15	508	He I	 M02	15	0.39
20	509	He I	 M02	20	0.43
25	510	He I	 M02	25	0.47
35	512	He I	 M02	35	0.51
2	513	Rb II	 R75	2	0.10
50	516	He I	 M02	50	0.57
10	519	Ar II	 M71	10	0.33
  100 P	522	He I	 M02	100	0.67
3	530	Rb II	 R75	3	0.16
  400 P	537	He I	 M02	400	0.87
  800 P	538	O  II	 MKM93	800	0.97
 1000 P	538	O  II	 MKM93	1000	1.00
  600 P	538	O  II	 MKM93	600	0.93
  800 P	539	O  II	 MKM93	800	0.97
  700 P	540	O  II	 MKM93	700	0.95
  500 P	540	O  II	 MKM93	500	0.90
10	543	Ar II	 M71	10	0.33
70	543	Ar II	 M71	70	0.62
25	547	Ar II	 M71	25	0.47
25	557	Ar II	 M71	25	0.47
25	573	Ar II	 M71	25	0.47
10	577	Ar II	 M71	10	0.33
25	580	Ar II	 M71	25	0.47
10	583	Ar II	 M71	10	0.33
 1000 P	584	He I	 M02	1000	1.00
30	587	Ne I	 SS04	30	0.49
30	587	Ne I	 SS04	30	0.49
   30 P	589	Rb II	 R75	30	0.49
30	590	Ne I	 SS04	30	0.49
50	591	He I	 M02	50	0.57
70	592	Ne I	 SS04	70	0.62
100	596	Ne I	 SS04	100	0.67
25	598	Ar II	 M71	25	0.47
70	599	Ne I	 SS04	70	0.62
30	599	Ne I	 SS04	30	0.49
70	600	Ne I	 SS04	70	0.62
 1000 P	601	K  II	 E31	1000	1.00
130	603	Ne I	 SS04	130	0.70
10	603	Ar II	 M71	10	0.33
  900 P	606	F  II	 P69	900	0.98
  800 P	606	F  II	 P69	800	0.97
 1000 P	607	F  II	 P69	1000	1.00
  700 P	607	F  II	 P69	700	0.95
  800 P	607	F  II	 P69	800	0.97
  800 P	608	K  II	 E31	800	0.97
  900 P	608	F  II	 P69	900	0.98
10	612	Ar II	 M71	10	0.33
 1000 P	613	K  II	 E31	1000	1.00
  170 P	616	Ne I	 SS04	170	0.74
  170 P	619	Ne I	 SS04	170	0.74
  130 P	619	Ne I	 SS04	130	0.70
  200 P	627	Ne I	 SS04	200	0.77
  200 P	630	Ne I	 SS04	200	0.77
20	639	Cs II	 RE75	20	0.43
15	644	Rb II	 R75	15	0.39
  200 P	645	N  II	 E83	200	0.77
  600 P	645	N  II	 E83	600	0.93
 1000 P	645	N  II	 E83	1000	1.00
  150 P	662	Ar II	 M71	150	0.73
10	665	Ar II	 M71	10	0.33
70	666	Ar II	 M71	70	0.62
  300 P	671	Ar II	 M71	300	0.83
 1000 P	672	Ar II	 M71	1000	1.00
25	676	Ar II	 M71	25	0.47
10	678	Ar II	 M71	10	0.33
10	679	Ar II	 M71	10	0.33
70	679	Ar II	 M71	70	0.62
  600 P	687	C  II	 KE74	600	0.93
 1000 P	687	C  II	 KE74	1000	1.00
80	693	N  I	 M75a	80	0.63
180	694	B  II	 O70	180	0.75
  500 r	696	Tl II	 ES36	500	0.90
   30 P	697	Rb II	 R75	30	0.49
   70 P	711	Rb II	 R75	70	0.62
70	718	Ar II	 M71	70	0.62
150	718	Cs II	 RE75	150	0.73
  800 P	719	O  II	 MKM93	800	0.97
  500 P	719	O  II	 MKM93	500	0.90
 1000 P	723	Ar II	 M71	1000	1.00
150	726	Ar II	 M71	150	0.73
20	729	Kr II	 MSP69	20	0.43
25	731	Ar II	 M71	25	0.47
 1000 P	736	Ne I	 SS04	1000	1.00
70	740	Ar II	 M71	70	0.62
120	740	Xe II	 B36	120	0.69
  110 P	741	Rb II	 R75	110	0.68
  400 P	744	Ne I	 SS04	400	0.87
70	745	Ar II	 M71	70	0.62
25	745	Ar II	 M71	25	0.47
70	761	Kr II	 MSP69	70	0.62
30	764	Kr II	 MSP69	30	0.49
20	766	Kr II	 MSP69	20	0.43
70	771	Kr II	 MSP69	70	0.62
20	774	Kr II	 MSP69	20	0.43
  200 P	776	N  II	 E83	200	0.77
70	782	Kr II	 MSP69	70	0.62
30	784	Kr II	 MSP69	30	0.49
600	788	Cl II	 RK74	600	0.93
600	789	Cl II	 RK74	600	0.93
600	793	Cl II	 RK74	600	0.93
250	797	O  II	 MKM93	250	0.80
250	797	O  II	 MKM93	250	0.80
40	802	Te II	 HM64	40	0.53
20	803	Ar I	 M73	20	0.43
120	803	Xe II	 B36	120	0.69
100	806	Ar I	 M73	100	0.67
60	807	Ar I	 M73	60	0.59
30	807	Ar I	 M73	30	0.49
40	808	Ar I	 M73	40	0.53
  150 P	809	Cs II	 RE75	150	0.73
50	810	Ar I	 M73	50	0.57
  150 P	814	Cs II	 RE75	150	0.73
120	816	Ar I	 M73	120	0.69
70	816	Ar I	 M73	70	0.62
  300 r	817	Tl II	 ES36	300	0.83
20	818	Kr II	 MSP69	20	0.43
80	820	Ar I	 M73	80	0.63
120	825	Ar I	 M73	120	0.69
120	826	Ar I	 M73	120	0.69
140	830	Ga II	 IL85	140	0.72
20	830	Kr II	 MSP69	20	0.43
800	833	Se II	 G62	800	0.97
  250 P	833	O  II	 MKM93	250	0.80
